date,USD_KRW,JPY_KRW,EUR_KRW,CNY_KRW
2025-09-01,1393.36,9.4644,1632.32,195.3
2025-09-02,1395.34,9.3877,1625.01,195.31
2025-09-03,1389.43,9.3498,1619.1,194.44
2025-09-04,1393.31,9.3933,1622.79,195.12
2025-09-05,1390.78,9.3986,1626.8,194.85
2025-09-08,1387.88,9.3876,1627.71,194.66
2025-09-09,1386.71,9.4485,1628.55,194.72
2025-09-10,1388.85,9.4164,1625.93,194.99
2025-09-11,1392.96,9.415,1627.67,195.51
2025-09-12,1391.86,9.4097,1630.98,195.42
2025-09-15,1387.98,9.4192,1633.1,194.89
2025-09-16,1381.93,9.4016,1631.64,194.22
2025-09-17,1378.56,9.4171,1631.8,194.05
2025-09-18,1386.5,9.404,1638.56,195.13
2025-09-19,1398.16,9.4417,1640.88,196.49
2025-09-22,1391.29,9.4108,1639.08,195.62
2025-09-23,1394.55,9.4354,1644.59,196.09
2025-09-24,1399.28,9.4263,1644.99,196.33
2025-09-25,1403.93,9.4337,1648.07,197.07
2025-09-26,1409.82,9.4144,1645.54,197.52
2025-09-29,1401.78,9.4237,1643.31,196.85
2025-09-30,1403.67,9.4846,1648.05,197.16
2025-10-01,1405.25,9.5525,1647.52,197.38
2025-10-02,1401.4,9.5474,1647.21,196.84
2025-10-03,1405.57,9.539,1649.29,197.42
2025-10-06,1412.23,9.4122,1649.2,198.36
2025-10-07,1413.2,9.3646,1648.64,198.5
2025-10-08,1424.33,9.3284,1656.07,200.06
2025-10-09,1419.17,9.2886,1647.8,199.26
2025-10-10,1421.03,9.3157,1643.85,199.5
2025-10-13,1427.6,9.3851,1651.59,200.17
2025-10-14,1434.71,9.4327,1657.52,200.94
2025-10-15,1423.59,9.3936,1654.5,199.76
2025-10-16,1417.88,9.3724,1651.69,198.98
2025-10-17,1420.58,9.4444,1659.38,199.45
2025-10-20,1423.54,9.4425,1659.14,199.84
2025-10-21,1430.5,9.4099,1660.38,200.95
2025-10-22,1432.66,9.4362,1660.02,201.03
2025-10-23,1440.43,9.4376,1669.89,202.18
2025-10-24,1439.45,9.4142,1671.49,202.1
2025-10-27,1432.32,9.3701,1667.22,201.52
2025-10-28,1436.38,9.432,1670.51,202.27
2025-10-29,1422.95,9.3508,1655.74,200.43
2025-10-30,1434.99,9.292,1657.41,201.71
2025-10-31,1428.14,9.2628,1650.07,200.69
2025-11-03,1430.02,9.2726,1646.53,200.83
2025-11-04,1439.2,9.3757,1653.78,201.98
2025-11-05,1444.0,9.3929,1659.45,202.61
2025-11-06,1445.76,9.4124,1667.4,203.07
2025-11-07,1459.64,9.5344,1687.49,204.98
2025-11-10,1454.13,9.4362,1682.57,204.25
2025-11-11,1465.1,9.5027,1695.85,205.81
2025-11-12,1465.88,9.4698,1696.9,205.98
2025-11-13,1463.48,9.4694,1700.42,206.24
2025-11-14,1451.5,9.4337,1690.71,204.55
2025-11-17,1461.46,9.4352,1694.27,205.62
2025-11-18,1462.99,9.4232,1695.61,205.75
2025-11-19,1466.01,9.3894,1698.08,206.18
2025-11-20,1469.35,9.3228,1691.81,206.55
2025-11-21,1474.29,9.4062,1698.38,207.36
2025-11-24,1473.27,9.3849,1700.74,207.83
2025-11-25,1464.88,9.3786,1692.08,206.74
2025-11-26,1474.3,9.4251,1706.8,208.25
2025-11-27,1462.24,9.3543,1694.15,206.43
2025-11-28,1469.66,9.4136,1699.81,207.71
2025-12-01,1465.15,9.4648,1706.31,207.18
2025-12-02,1467.9,9.4054,1704.82,207.59
2025-12-03,1464.5,9.4262,1708.78,207.32
2025-12-04,1471.53,9.5081,1716.69,208.09
2025-12-05,1472.58,9.4867,1714.82,208.28
2025-12-08,1466.19,9.4261,1708.85,207.44
2025-12-09,1468.51,9.3917,1708.91,207.88
2025-12-10,1469.97,9.38,1710.16,208.14
2025-12-11,1471.14,9.4556,1723.29,208.43
2025-12-12,1477.12,9.4694,1732.81,209.38
2025-12-15,1465.15,9.4449,1721.99,207.91
2025-12-16,1473.24,9.5287,1734.89,209.2
2025-12-17,1479.38,9.5083,1734.13,210.02
2025-12-18,1477.24,9.4833,1731.18,209.8
2025-12-19,1478.72,9.4047,1731.88,210.01
2025-12-22,1480.39,9.4102,1738.72,210.37
2025-12-23,1480.88,9.4913,1745.36,210.71
2025-12-24,1448.24,9.286,1707.04,206.47
2025-12-29,1437.15,9.1914,1690.95,205.12
2025-12-30,1443.95,9.2525,1697.65,206.49
2025-12-31,1444.2,9.218,1696.94,206.28
2026-01-02,1444.87,9.207,1693.53,206.6
2026-01-05,1449.28,9.2409,1690.44,207.47
2026-01-06,1448.65,9.2603,1695.93,207.41
2026-01-07,1447.68,9.2476,1691.47,207.07
2026-01-08,1452.31,9.2669,1695.57,208.01
2026-01-09,1459.84,9.2608,1699.55,209.08
2026-01-12,1466.91,9.3,1715.11,210.37
2026-01-13,1474.08,9.2799,1717.89,211.32
2026-01-14,1475.41,9.3009,1719.0,211.58
2026-01-15,1468.32,9.2603,1706.77,210.74
2026-01-16,1472.93,9.3162,1711.1,211.33
2026-01-19,1473.2,9.3281,1713.48,211.56
2026-01-20,1476.8,9.353,1731.99,212.22
2026-01-21,1464.62,9.2821,1719.32,210.32
2026-01-22,1467.72,9.2431,1718.11,210.4
2026-01-23,1467.55,9.279,1723.2,210.72
2026-01-26,1447.77,9.3885,1713.58,208.18
2026-01-27,1441.2,9.3987,1719.21,207.22
2026-01-28,1428.83,9.3613,1710.88,205.69
2026-01-29,1430.83,9.333,1712.42,205.99
2026-01-30,1442.63,9.3658,1719.47,207.58
2026-02-02,1452.48,9.3673,1719.74,209.19
2026-02-03,1448.56,9.2945,1709.44,208.78
2026-02-04,1455.75,9.2935,1720.7,209.71
2026-02-05,1465.15,9.3381,1728.58,211.14
2026-02-06,1467.42,9.3414,1730.68,211.48
2026-02-09,1462.05,9.3606,1737.79,211.2
2026-02-10,1461.64,9.4221,1738.48,211.38
2026-02-11,1451.97,9.4526,1727.84,210.08
2026-02-12,1438.29,9.3569,1707.82,208.41
2026-02-13,1446.45,9.4362,1715.78,209.37
2026-02-16,1441.42,9.3999,1708.8,208.64
2026-02-17,1445.82,9.4434,1709.83,209.28
2026-02-18,1445.89,9.4107,1712.66,209.29
2026-02-19,1449.68,9.359,1703.81,209.84
2026-02-20,1449.66,9.3403,1705.81,209.83
2026-02-23,1443.55,9.3241,1701.08,208.95
2026-02-24,1443.3,9.2615,1699.77,209.73
2026-02-25,1427.9,9.1101,1682.64,207.86
2026-02-26,1425.64,9.1352,1684.25,208.39
2026-02-27,1441.97,9.2448,1702.25,210.26
2026-03-02,1462.11,9.286,1710.38,212.44
2026-03-03,1478.5,9.3778,1715.95,214.04
2026-03-04,1464.8,9.3232,1706.34,212.37
2026-03-05,1475.79,9.3677,1714.57,213.85
2026-03-06,1485.18,9.4047,1717.02,215.1
