month,cpi_yoy_pct
2023-01,4.978541
2023-02,4.65756
2023-03,4.165881
2023-04,3.688102
2023-05,3.376744
2023-06,2.726181
2023-07,2.354456
2023-08,3.360029
2023-09,3.703363
2023-10,3.765115
2023-11,3.309801
2023-12,3.175911
2024-01,2.81639
2024-02,3.126983
2024-03,3.103511
2024-04,2.92498
2024-05,2.672546
2024-06,2.410939
2024-07,2.551892
2024-08,2.012825
2024-09,1.595038
2024-10,1.253642
2024-11,1.526447
2024-12,1.933824
2025-01,2.244411
2025-02,2.021445
2025-03,2.053532
2025-04,2.078765
2025-05,1.90184
2025-06,2.169712
2025-07,2.094103
2025-08,1.66754
2025-09,2.10205
2025-10,2.38033
2025-11,2.447552
2025-12,2.314855
2026-01,2.005013
2026-02,1.998622
2026-03,2.158397
2026-04,2.56917
2026-05,3.139245
2026-06,3.163958
2026-07,2.789221
2026-08,3.091455
