year,cpi_inflation_pct,lending_rate_pct,deposit_rate_pct,real_interest_rate_pct,youth_unemployment_pct,usdkrw_avg,age65_share_pct,gdp_per_capita_usd
2010,2.939,5.512,3.857,2.719,8.54,1156.46,10.992,24071.262
2011,4.026,5.758,4.152,4.426,8.298,1108.233,11.35,26175.24
2012,2.187,5.396,3.701,4.051,7.738,1126.807,11.703,26600.548
2013,1.301,4.643,2.891,3.528,8.943,1094.983,12.097,28449.359
2014,1.275,4.263,2.536,3.179,8.594,1052.84,12.525,30667.091
2015,0.706,3.533,1.809,0.295,9.899,1130.953,12.955,30171.791
2016,0.972,3.368,1.558,1.279,10.145,1160.767,13.363,30832.063
2017,1.944,3.477,1.67,1.429,9.781,1131.001,13.874,33296.985
2018,1.476,3.663,2.026,3.078,10.12,1100.163,14.454,35363.951
2019,0.383,3.446,1.853,4.096,9.827,1165.358,15.063,33826.944
2020,0.537,2.802,1.161,1.196,10.143,1180.266,15.822,33645.772
2021,2.498,2.884,1.197,-0.287,8.055,1143.952,16.66,37518.464
2022,5.09,4.293,3.122,2.441,6.638,1291.447,17.485,34822.405
2023,3.597,5.189,3.844,3.088,5.405,1305.662,18.335,35674.096
2024,2.322,4.727,3.482,0.634,6.434,1363.375,19.274,36238.64
2025,2.123,4.192,2.734,1.034,6.695,1422.441,20.33,36226.966
