month,long_rate_pct,rate_3m_pct
2023-01,3.411,3.8
2023-02,3.45,3.52
2023-03,3.448,3.61
2023-04,3.319,3.5
2023-05,3.402,3.64
2023-06,3.611,3.75
2023-07,3.681,3.75
2023-08,3.86,3.7
2023-09,3.949,3.76
2023-10,4.272,3.82
2023-11,3.89,3.83
2023-12,3.415,3.83
2024-01,3.353,3.74
2024-02,3.429,3.69
2024-03,3.39,3.65
2024-04,3.567,3.57
2024-05,3.527,3.6
2024-06,3.337,3.6
2024-07,3.171,3.54
2024-08,2.999,3.5
2024-09,3.011,3.52
2024-10,3.07,3.43
2024-11,3.006,3.42
2024-12,2.771,3.35
2025-01,2.821,3.04
2025-02,2.83,2.95
2025-03,2.795,2.84
2025-04,2.658,2.74
2025-05,2.71,2.67
2025-06,2.842,2.57
2025-07,2.84,2.51
2025-08,2.815,2.51
2025-09,2.849,2.56
2025-10,2.933,2.55
2025-11,3.248,2.69
2025-12,3.366,2.84
2026-01,3.485,2.7
2026-02,3.612,2.78
2026-03,3.728,2.82
2026-04,3.737,2.82
2026-05,4.075,2.82
2026-06,4.181,2.91
2026-07,4.286,2.91
2026-08,4.286,2.97
