month,경기전반체감,경기전반전망,매출체감,매출전망,자금사정체감,자금사정전망,소매업체감,소매업전망,음식점업체감,음식점업전망,서울체감,서울전망,부산체감,부산전망
2013-01,65.5,93.7,65.7,96.7,68.1,96.1,61.0,89.7,66.0,96.7,60.7,90.7,86.0,90.5
2013-02,66.8,83.6,67.9,82.7,70.9,80.9,69.9,92.7,64.7,78.1,71.3,75.6,52.7,88.8
2013-03,95.4,103.7,116.3,102.3,88.5,94.3,101.1,104.0,96.7,106.3,93.0,101.1,74.0,96.3
2013-04,92.5,103.2,93.5,102.7,90.0,95.4,89.9,105.4,96.2,110.7,98.4,99.2,84.7,87.4
2013-05,98.7,106.1,99.7,106.4,95.6,98.5,106.1,108.3,101.3,115.0,102.4,104.7,87.7,92.8
2013-06,89.6,97.2,90.5,97.2,89.4,94.9,88.6,101.6,96.9,100.7,91.7,102.4,89.6,91.2
2013-07,86.8,91.3,87.5,91.9,88.1,91.2,85.2,90.0,95.8,93.9,87.5,89.9,86.9,91.4
2013-08,86.5,90.8,87.7,91.3,88.0,91.6,84.9,90.1,92.6,92.1,85.4,96.2,82.7,92.4
2013-09,97.7,105.3,98.1,106.7,94.8,101.5,112.0,113.4,96.2,104.3,90.8,102.7,84.5,87.3
2013-10,96.1,106.8,97.1,106.8,92.8,101.2,95.2,103.7,100.6,112.0,98.1,99.7,95.6,90.2
2013-11,93.2,100.4,93.8,100.3,92.2,97.5,90.4,101.8,102.1,102.2,90.9,99.5,92.0,97.1
2013-12,99.0,101.0,99.0,101.8,94.7,97.7,94.1,96.6,112.1,111.5,100.0,102.9,94.1,99.6
2014-01,88.6,95.9,89.5,95.8,89.3,95.2,95.9,91.4,82.6,97.6,94.4,96.5,91.9,92.6
2014-02,87.1,92.6,87.4,92.2,87.7,92.7,80.0,94.8,86.5,87.7,88.0,90.7,90.8,89.4
2014-03,102.9,114.5,102.8,114.9,95.2,103.8,102.7,121.0,101.5,113.9,106.0,109.0,99.3,105.0
2014-04,45.9,101.5,47.8,101.7,50.7,97.5,41.9,101.6,38.9,107.3,42.7,99.1,45.3,98.6
2014-05,65.8,82.0,67.2,82.7,65.8,79.2,71.6,90.6,64.8,88.6,62.0,90.2,69.3,78.0
2014-06,53.2,86.8,53.1,86.8,54.3,83.0,56.2,88.7,56.4,95.7,41.5,85.0,52.0,84.7
2014-07,45.4,85.6,46.7,86.0,45.5,81.9,40.4,91.5,46.0,98.5,44.9,71.8,40.0,92.0
2014-08,57.3,71.3,55.9,70.4,53.3,67.7,47.0,66.2,59.8,74.7,53.8,68.4,56.0,70.0
2014-09,79.8,109.3,78.8,112.0,75.3,104.3,92.3,116.2,67.4,91.4,79.9,113.7,75.3,101.3
2014-10,64.2,116.3,64.0,112.0,64.5,111.6,49.4,95.3,62.2,125.5,,120.1,,118.7
2014-11,52.5,100.5,53.2,100.3,53.6,98.4,45.9,89.1,47.1,106.5,,,,
2014-12,53.4,96.4,53.5,97.1,53.5,93.8,54.1,94.0,56.4,108.9,,,,
2015-01,51.1,84.2,51.9,83.8,52.5,84.7,41.5,76.7,43.5,77.8,,,,
2015-02,60.0,77.5,58.8,76.9,60.6,77.5,82.5,100.9,41.7,53.3,,,,
2015-03,60.4,118.4,62.7,118.8,58.9,115.5,62.6,113.9,48.7,115.2,,,,
