month,usdkrw
2021-01,1098.24
2021-02,1111.81
2021-03,1130.25
2021-04,1117.86
2021-05,1123.66
2021-06,1122.61
2021-07,1146.39
2021-08,1160.99
2021-09,1172.82
2021-10,1181.89
2021-11,1184.06
2021-12,1183.89
2022-01,1196.03
2022-02,1199.12
2022-03,1220.84
2022-04,1235.15
2022-05,1268.81
2022-06,1277.41
2022-07,1308.03
2022-08,1319.41
2022-09,1396.37
2022-10,1426.07
2022-11,1361.79
2022-12,1293.56
2023-01,1243.07
2023-02,1275.42
2023-03,1306.02
2023-04,1322.06
2023-05,1327.48
2023-06,1297.25
2023-07,1282.28
2023-08,1321.76
2023-09,1334.24
2023-10,1351.51
2023-11,1308.15
2023-12,1304.39
2024-01,1325.91
2024-02,1331.33
2024-03,1331.68
2024-04,1367.86
2024-05,1364.72
2024-06,1379.05
2024-07,1382.05
2024-08,1351.44
2024-09,1330.7
2024-10,1362.37
2024-11,1395.02
2024-12,1440.0
2025-01,1452.19
2025-02,1444.79
2025-03,1458.35
2025-04,1439.78
2025-05,1391.44
2025-06,1364.68
2025-07,1379.3
2025-08,1389.0
2025-09,1392.91
2025-10,1423.08
2025-11,1459.88
2025-12,1465.36
2026-01,1455.5
2026-02,1447.29
2026-03,1490.52
2026-04,1483.8
2026-05,1488.4
2026-06,1529.46
2026-07,1486.01
2026-08,1403.22
2026-09,
